iter	Passed	Remaining
0	0	80
1	1	70
2	2	66
3	2	62
4	3	62
5	3	60
6	4	59
7	5	58
8	5	57
9	6	56
10	6	55
11	7	54
12	8	53
13	8	52
14	9	52
15	9	51
16	10	50
17	11	50
18	11	49
19	12	48
20	12	47
21	13	47
22	14	47
23	14	46
24	15	45
25	15	45
26	16	44
27	17	44
28	17	43
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	39
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	25	36
41	25	35
42	25	34
43	26	33
44	27	33
45	27	32
46	28	31
47	29	31
48	29	30
49	30	30
50	30	29
51	31	29
52	32	28
53	32	28
54	33	27
55	34	26
56	34	26
57	35	25
58	35	25
59	36	24
60	37	23
61	38	23
62	38	22
63	39	22
64	40	21
65	40	20
66	41	20
67	41	19
68	42	19
69	43	18
70	43	17
71	44	17
72	44	16
73	45	15
74	46	15
75	46	14
76	47	14
77	47	13
78	48	12
79	49	12
80	49	11
81	50	11
82	50	10
83	51	9
84	51	9
85	52	8
86	53	7
87	53	7
88	54	6
89	54	6
90	55	5
91	56	4
92	56	4
93	57	3
94	57	3
95	58	2
96	58	1
97	59	1
98	60	0
99	60	0
