iter	Passed	Remaining
0	158	158300
1	159	79484
2	160	53179
3	160	40030
4	161	32119
5	162	26840
6	162	23068
7	163	20237
8	163	18036
9	164	16277
10	165	14871
11	166	13683
12	166	12670
13	167	11806
14	168	11048
15	168	10384
16	169	9798
17	170	9275
18	170	8808
19	171	8389
20	171	8009
21	172	7664
22	173	7348
23	173	7063
24	174	6800
25	174	6553
26	175	6325
27	176	6113
28	176	5916
29	177	5732
30	177	5560
31	178	5401
32	179	5253
33	180	5118
34	180	4985
35	181	4859
36	182	4740
37	182	4627
38	183	4518
39	184	4416
40	184	4317
41	185	4224
42	185	4136
43	186	4050
44	187	3971
45	187	3893
46	188	3819
47	188	3748
48	189	3679
49	190	3614
50	190	3550
51	191	3489
52	191	3430
53	192	3377
54	193	3325
55	194	3275
56	194	3226
57	195	3178
58	196	3131
59	196	3085
60	197	3041
61	198	2997
62	198	2955
63	199	2915
64	199	2875
65	200	2839
66	201	2802
67	201	2766
68	202	2731
69	203	2697
70	203	2663
71	204	2631
72	204	2599
73	205	2569
74	205	2539
75	206	2510
76	207	2482
77	207	2458
78	208	2432
79	209	2407
80	210	2382
81	210	2358
82	210	2331
83	211	2307
84	212	2284
85	212	2261
86	213	2239
87	213	2217
88	214	2197
89	215	2177
90	215	2157
91	216	2137
92	217	2118
93	217	2099
94	218	2080
95	218	2061
96	219	2043
97	220	2025
98	220	2008
99	221	1991
100	221	1974
101	222	1961
102	223	1945
103	224	1931
104	224	1916
105	225	1902
106	226	1887
107	226	1873
108	227	1859
109	228	1845
110	228	1832
111	229	1818
112	229	1804
113	230	1791
114	231	1778
115	231	1765
116	232	1751
117	232	1739
118	233	1727
119	233	1715
120	234	1703
121	234	1691
122	235	1679
123	236	1668
124	236	1657
125	237	1647
126	238	1636
127	238	1626
128	239	1616
129	240	1606
130	240	1596
131	241	1586
132	242	1577
133	242	1568
134	243	1558
135	243	1549
136	244	1539
137	245	1530
138	245	1521
139	246	1512
140	246	1503
141	247	1493
142	247	1484
143	248	1476
144	248	1467
145	249	1459
146	250	1451
147	250	1442
148	251	1434
149	252	1429
150	252	1422
151	253	1415
152	254	1407
153	254	1400
154	255	1393
155	256	1385
156	256	1378
157	257	1371
158	257	1364
159	258	1357
160	258	1349
161	259	1342
162	260	1335
163	260	1328
164	261	1321
165	261	1315
166	262	1308
167	263	1302
168	263	1296
169	264	1289
170	264	1283
171	265	1277
172	265	1271
173	266	1265
174	267	1260
175	268	1255
176	268	1249
177	269	1245
178	270	1239
179	271	1235
180	271	1229
181	272	1224
182	273	1218
183	273	1213
184	274	1207
185	274	1202
186	275	1196
187	275	1191
188	276	1186
189	277	1181
190	277	1175
191	278	1170
192	278	1165
193	279	1160
194	279	1155
195	280	1150
196	281	1145
197	282	1142
198	282	1138
199	283	1134
200	284	1129
201	284	1125
202	285	1120
203	286	1116
204	286	1111
205	287	1107
206	287	1102
207	288	1098
208	288	1093
209	289	1089
210	290	1085
211	290	1080
212	291	1076
213	291	1072
214	292	1068
215	293	1063
216	293	1059
217	294	1055
218	294	1051
219	295	1047
220	296	1043
221	296	1040
222	297	1038
223	298	1034
224	299	1031
225	300	1027
226	300	1024
227	301	1020
228	301	1016
229	302	1013
230	303	1009
231	303	1006
232	304	1002
233	305	999
234	305	995
235	306	992
236	307	988
237	307	985
238	308	981
239	309	978
240	309	975
241	310	971
242	311	970
243	312	967
244	313	964
245	313	962
246	314	959
247	315	956
248	316	953
249	316	950
250	317	947
251	318	944
252	318	941
253	319	938
254	320	935
255	320	932
256	321	929
257	322	926
258	322	923
259	323	920
260	324	917
261	325	915
262	326	914
263	326	911
264	327	908
265	328	905
266	329	904
267	330	901
268	330	898
269	331	895
270	331	893
271	332	890
272	333	887
273	333	884
274	334	882
275	335	879
276	335	876
277	336	873
278	336	870
279	337	867
280	338	865
281	338	862
282	339	859
283	339	856
284	340	854
285	341	851
286	341	848
287	342	846
288	342	843
289	343	840
290	344	838
291	345	836
292	345	834
293	346	831
294	346	829
295	347	826
296	348	824
297	348	821
298	349	819
299	349	816
300	350	813
